FECHA,LOCAL,GOLESLOCAL,GOLESVIS,VISITA
Jornada 1 02 - 05 Feb,U. Catolica,2 , 1,Deportes Temuco
Jornada 1 02 - 05 Feb,Antofagasta,1 , 2,Colo Colo
Jornada 1 02 - 05 Feb,Palestino,1 , 2,U. La Calera
Jornada 1 02 - 05 Feb,U. de Conce,0 , 2,O Higgins
Jornada 1 02 - 05 Feb,A. Italiano,2 , 4,Huachipato
Jornada 1 02 - 05 Feb,Everton Vina,2 , 3,D. Iquique
Jornada 1 02 - 05 Feb,U. de Chile,1 , 2,U. Espanola
Jornada 1 02 - 05 Feb,CD San Luis,1 , 0,Curico Unido
Jornada 2 09 - 12 Feb,U. La Calera,1 , 3,Antofagasta
Jornada 2 09 - 12 Feb,D. Iquique,1 , 2,U. de Chile
Jornada 2 09 - 12 Feb,Deportes Temuco,1 , 1,U. de Conce
Jornada 2 09 - 12 Feb,U. Espanola,2 , 2,Palestino
Jornada 2 09 - 12 Feb,Colo Colo,3 , 2,A. Italiano
Jornada 2 09 - 12 Feb,Curico Unido,1 , 3,U. Catolica
Jornada 2 09 - 12 Feb,Huachipato,1 , 1,CD San Luis
Jornada 2 09 - 12 Feb,O Higgins,1 , 2,Everton Vina
Jornada 3 16 - 19 Feb,U. de Chile,3 , 0,CD San Luis
Jornada 3 16 - 19 Feb,Everton Vina,0 , 1,U. Catolica
Jornada 3 16 - 19 Feb,Palestino,2 , 1,Colo Colo
Jornada 3 16 - 19 Feb,U. de Conce,0 , 0,Curico Unido
Jornada 3 16 - 19 Feb,D. Iquique,0 , 1,U. La Calera
Jornada 3 16 - 19 Feb,O Higgins,2 , 1,Huachipato
Jornada 3 16 - 19 Feb,U. Espanola,1 , 1,Antofagasta
Jornada 3 16 - 19 Feb,A. Italiano,1 , 1,Deportes Temuco
Jornada 4 23 - 26 Feb,Colo Colo,1 , 1,O Higgins
Jornada 4 23 - 26 Feb,Huachipato,3 , 0,U. de Conce
Jornada 4 23 - 26 Feb,CD San Luis,0 , 1,Palestino
Jornada 4 23 - 26 Feb,U. Catolica,1 , 0,U. La Calera
Jornada 4 23 - 26 Feb,Antofagasta,2 , 1,D. Iquique
Jornada 4 23 - 26 Feb,A. Italiano,1 , 0,Everton Vina
Jornada 4 23 - 26 Feb,Deportes Temuco,0 , 1,U. de Chile
Jornada 4 23 - 26 Feb,Curico Unido,4 , 4,U. Espanola
Jornada 5 02 - 05 Mar,Everton Vina,2 , 1,CD San Luis
Jornada 5 02 - 05 Mar,Palestino,1 , 1,A. Italiano
Jornada 5 02 - 05 Mar,Colo Colo,2 , 1,Huachipato
Jornada 5 02 - 05 Mar,U. Espanola,2 , 3,U. de Conce
Jornada 5 02 - 05 Mar,D. Iquique,0 , 1,U. Catolica
Jornada 5 02 - 05 Mar,U. de Chile,2 , 0,Antofagasta
Jornada 5 02 - 05 Mar,U. La Calera,0 , 0,Curico Unido
Jornada 5 02 - 05 Mar,O Higgins,2 , 0,Deportes Temuco
Jornada 6 16 - 19 Mar,Deportes Temuco,3 , 2,Palestino
Jornada 6 16 - 19 Mar,Curico Unido,3 , 0,A. Italiano
Jornada 6 16 - 19 Mar,Everton Vina,0 , 1,U. de Chile
Jornada 6 16 - 19 Mar,Antofagasta,3 , 2,O Higgins
Jornada 6 16 - 19 Mar,CD San Luis,0 , 0,D. Iquique
Jornada 6 16 - 19 Mar,U. Catolica,3 , 1,U. Espanola
Jornada 6 16 - 19 Mar,U. de Conce,2 , 1,Colo Colo
Jornada 6 16 - 19 Mar,Huachipato,2 , 0,U. La Calera
Jornada 7 30 Mar - 01 Abr,A. Italiano,2 , 3,U. de Chile
Jornada 7 30 Mar - 01 Abr,Colo Colo,1 , 0,U. Catolica
Jornada 7 30 Mar - 01 Abr,Huachipato,2 , 0,Everton Vina
Jornada 7 30 Mar - 01 Abr,O Higgins,4 , 0,CD San Luis
Jornada 7 30 Mar - 01 Abr,Curico Unido,1 , 1,Deportes Temuco
Jornada 7 30 Mar - 01 Abr,D. Iquique,1 , 3,U. de Conce
Jornada 7 30 Mar - 01 Abr,Palestino,1 , 1,Antofagasta
Jornada 7 30 Mar - 01 Abr,U. La Calera,1 , 0,U. Espanola
Jornada 8 06 - 08 Abr,Antofagasta,0 , 0,Huachipato
Jornada 8 06 - 08 Abr,Deportes Temuco,0 , 4,D. Iquique
Jornada 8 06 - 08 Abr,Everton Vina,1 , 3,U. La Calera
Jornada 8 06 - 08 Abr,U. de Chile,2 , 1,Curico Unido
Jornada 8 06 - 08 Abr,CD San Luis,1 , 0,Colo Colo
Jornada 8 06 - 08 Abr,U. Catolica,2 , 1,Palestino
Jornada 8 06 - 08 Abr,U. de Conce,1 , 0,A. Italiano
Jornada 8 06 - 08 Abr,U. Espanola,2 , 0,O Higgins
Jornada 9 13 - 15 Abr,Huachipato,0 , 0,Deportes Temuco
Jornada 9 13 - 15 Abr,O Higgins,0 , 1,U. Catolica
Jornada 9 13 - 15 Abr,Palestino,2 , 1,Everton Vina
Jornada 9 13 - 15 Abr,U. La Calera,1 , 3,U. de Conce
Jornada 9 13 - 15 Abr,Curico Unido,3 , 4,Antofagasta
Jornada 9 13 - 15 Abr,D. Iquique,0 , 1,U. Espanola
Jornada 9 13 - 15 Abr,U. de Chile,1 , 3,Colo Colo
Jornada 9 13 - 15 Abr,A. Italiano,1 , 1,CD San Luis
Jornada 10 20 - 22 Abr,Colo Colo,2 , 0,Deportes Temuco
Jornada 10 20 - 22 Abr,D. Iquique,2 , 1,Palestino
Jornada 10 20 - 22 Abr,U. Espanola,2 , 1,Huachipato
Jornada 10 20 - 22 Abr,O Higgins,2 , 2,Curico Unido
Jornada 10 20 - 22 Abr,U. Catolica,1 , 0,A. Italiano
Jornada 10 20 - 22 Abr,U. de Conce,2 , 0,Everton Vina
Jornada 10 20 - 22 Abr,U. La Calera,6 , 1,U. de Chile
Jornada 10 20 - 22 Abr,Antofagasta,1 , 0,CD San Luis
Jornada 11 28 - 29 Abr,Curico Unido,0 , 0,Colo Colo
Jornada 11 28 - 29 Abr,Everton Vina,1 , 1,U. Espanola
Jornada 11 28 - 29 Abr,Huachipato,2 , 2,D. Iquique
Jornada 11 28 - 29 Abr,A. Italiano,0 , 0,Antofagasta
Jornada 11 28 - 29 Abr,Deportes Temuco,0 , 2,U. La Calera
Jornada 11 28 - 29 Abr,Palestino,2 , 3,O Higgins
Jornada 11 28 - 29 Abr,U. de Chile,1 , 2,U. de Conce
Jornada 11 28 - 29 Abr,CD San Luis,1 , 1,U. Catolica
Jornada 12 04 - 06 May,Antofagasta,3 , 2,Deportes Temuco
Jornada 12 04 - 06 May,D. Iquique,2 , 2,Curico Unido
Jornada 12 04 - 06 May,U. Espanola,4 , 0,CD San Luis
Jornada 12 04 - 06 May,U. La Calera,1 , 0,A. Italiano
Jornada 12 04 - 06 May,Colo Colo,3 , 1,Everton Vina
Jornada 12 04 - 06 May,O Higgins,0 , 1,U. de Chile
Jornada 12 04 - 06 May,Palestino,1 , 2,U. de Conce
Jornada 12 04 - 06 May,U. Catolica,3 , 1,Huachipato
Jornada 13 11 - 13 May,Colo Colo,0 , 0,D. Iquique
Jornada 13 11 - 13 May,Huachipato,1 , 1,Palestino
Jornada 13 11 - 13 May,CD San Luis,1 , 2,U. La Calera
Jornada 13 11 - 13 May,A. Italiano,1 , 2,O Higgins
Jornada 13 11 - 13 May,Deportes Temuco,2 , 0,U. Espanola
Jornada 13 11 - 13 May,Everton Vina,1 , 1,Curico Unido
Jornada 13 11 - 13 May,U. Catolica,1 , 1,U. de Chile
Jornada 13 11 - 13 May,U. de Conce,3 , 2,Antofagasta
Jornada 14 18 - 21 May,D. Iquique,1 , 1,A. Italiano
Jornada 14 18 - 21 May,U. de Chile,1 , 2,Palestino
Jornada 14 18 - 21 May,U. Espanola,3 , 2,Colo Colo
Jornada 14 18 - 21 May,U. La Calera,4 , 0,O Higgins
Jornada 14 18 - 21 May,Antofagasta,3 , 2,Everton Vina
Jornada 14 18 - 21 May,U. de Conce,0 , 0,U. Catolica
Jornada 14 18 - 21 May,Curico Unido,2 , 1,Huachipato
Jornada 14 18 - 21 May,Deportes Temuco,2 , 2,CD San Luis
Jornada 15 26 - 28 May,Huachipato,0 , 1,U. de Chile
Jornada 15 26 - 28 May,O Higgins,2 , 1,D. Iquique
Jornada 15 26 - 28 May,CD San Luis,0 , 3,U. de Conce
Jornada 15 26 - 28 May,A. Italiano,1 , 1,U. Espanola
Jornada 15 26 - 28 May,Everton Vina,2 , 2,Deportes Temuco
Jornada 15 26 - 28 May,Palestino,2 , 1,Curico Unido
Jornada 15 26 - 28 May,U. Catolica,0 , 0,Antofagasta
Jornada 15 26 - 28 May,Colo Colo,0 , 2,U. La Calera
Jornada 16 21 Jul,Curico Unido,,,CD San Luis
Jornada 16 21 Jul,Deportes Temuco,,,Antofagasta
Jornada 16 21 Jul,Everton Vina,,,O Higgins
Jornada 16 21 Jul,U. Catolica,,,D. Iquique
Jornada 16 21 Jul,U. de Chile,,,Huachipato
Jornada 16 21 Jul,U. de Conce,,,Palestino
Jornada 16 21 Jul,U. Espanola,,,A. Italiano
Jornada 16 21 Jul,U. La Calera,,,Colo Colo
Jornada 17 28 Jul,Antofagasta,,,U. de Chile
Jornada 17 28 Jul,A. Italiano,,,U. de Conce
Jornada 17 28 Jul,Colo Colo,,,Curico Unido
Jornada 17 28 Jul,D. Iquique,,,Everton Vina
Jornada 17 28 Jul,Huachipato,,,U. Espanola
Jornada 17 28 Jul,O Higgins,,,U. La Calera
Jornada 17 28 Jul,Palestino,,,U. Catolica
Jornada 17 28 Jul,CD San Luis,,,Deportes Temuco
Jornada 18 04 Ago,Antofagasta,,,Curico Unido
Jornada 18 04 Ago,Deportes Temuco,,,Colo Colo
Jornada 18 04 Ago,CD San Luis,,,O Higgins
Jornada 18 04 Ago,U. Catolica,,,Everton Vina
Jornada 18 04 Ago,U. de Chile,,,A. Italiano
Jornada 18 04 Ago,U. de Conce,,,Huachipato
Jornada 18 04 Ago,U. Espanola,,,D. Iquique
Jornada 18 04 Ago,U. La Calera,,,Palestino
Jornada 19 11 Ago,Colo Colo,,,CD San Luis
Jornada 19 11 Ago,Curico Unido,,,D. Iquique
Jornada 19 11 Ago,Everton Vina,,,U. de Conce
Jornada 19 11 Ago,Huachipato,,,A. Italiano
Jornada 19 11 Ago,O Higgins,,,Antofagasta
Jornada 19 11 Ago,Palestino,,,Deportes Temuco
Jornada 19 11 Ago,U. Espanola,,,U. de Chile
Jornada 19 11 Ago,U. La Calera,,,U. Catolica
Jornada 20 19 Ago,Antofagasta,,,U. La Calera
Jornada 20 19 Ago,A. Italiano,,,Palestino
Jornada 20 19 Ago,D. Iquique,,,Colo Colo
Jornada 20 19 Ago,Everton Vina,,,Huachipato
Jornada 20 19 Ago,CD San Luis,,,U. Espanola
Jornada 20 19 Ago,U. Catolica,,,Curico Unido
Jornada 20 19 Ago,U. de Chile,,,O Higgins
Jornada 20 19 Ago,U. de Conce,,,Deportes Temuco
Jornada 21 26 Ago,A. Italiano,,,U. Catolica
Jornada 21 26 Ago,Colo Colo,,,U. de Chile
Jornada 21 26 Ago,Curico Unido,,,U. de Conce
Jornada 21 26 Ago,Deportes Temuco,,,Everton Vina
Jornada 21 26 Ago,Huachipato,,,Antofagasta
Jornada 21 26 Ago,O Higgins,,,U. Espanola
Jornada 21 26 Ago,Palestino,,,CD San Luis
Jornada 21 26 Ago,U. La Calera,,,D. Iquique
Jornada 22 02 Sep,Antofagasta,,,Palestino
Jornada 22 02 Sep,D. Iquique,,,O Higgins
Jornada 22 02 Sep,Everton Vina,,,Colo Colo
Jornada 22 02 Sep,Huachipato,,,Curico Unido
Jornada 22 02 Sep,CD San Luis,,,A. Italiano
Jornada 22 02 Sep,U. de Chile,,,Deportes Temuco
Jornada 22 02 Sep,U. de Conce,,,U. La Calera
Jornada 22 02 Sep,U. Espanola,,,U. Catolica
Jornada 23 23 Sep,A. Italiano,,,D. Iquique
Jornada 23 23 Sep,Colo Colo,,,Antofagasta
Jornada 23 23 Sep,Curico Unido,,,O Higgins
Jornada 23 23 Sep,Deportes Temuco,,,Huachipato
Jornada 23 23 Sep,Palestino,,,U. Espanola
Jornada 23 23 Sep,U. Catolica,,,CD San Luis
Jornada 23 23 Sep,U. de Conce,,,U. de Chile
Jornada 23 23 Sep,U. La Calera,,,Everton Vina
Jornada 24 30 Sep,Antofagasta,,,U. de Conce
Jornada 24 30 Sep,D. Iquique,,,Deportes Temuco
Jornada 24 30 Sep,Everton Vina,,,A. Italiano
Jornada 24 30 Sep,O Higgins,,,Palestino
Jornada 24 30 Sep,CD San Luis,,,Huachipato
Jornada 24 30 Sep,U. Catolica,,,Colo Colo
Jornada 24 30 Sep,U. de Chile,,,U. La Calera
Jornada 24 30 Sep,U. Espanola,,,Curico Unido
Jornada 25 07 Oct,A. Italiano,,,U. La Calera
Jornada 25 07 Oct,Colo Colo,,,U. Espanola
Jornada 25 07 Oct,Curico Unido,,,Everton Vina
Jornada 25 07 Oct,Deportes Temuco,,,O Higgins
Jornada 25 07 Oct,Huachipato,,,U. Catolica
Jornada 25 07 Oct,Palestino,,,U. de Chile
Jornada 25 07 Oct,CD San Luis,,,Antofagasta
Jornada 25 07 Oct,U. de Conce,,,D. Iquique
Jornada 26 21 Oct,Antofagasta,,,A. Italiano
Jornada 26 21 Oct,Curico Unido,,,Palestino
Jornada 26 21 Oct,D. Iquique,,,CD San Luis
Jornada 26 21 Oct,O Higgins,,,Colo Colo
Jornada 26 21 Oct,U. Catolica,,,U. de Conce
Jornada 26 21 Oct,U. de Chile,,,Everton Vina
Jornada 26 21 Oct,U. Espanola,,,Deportes Temuco
Jornada 26 21 Oct,U. La Calera,,,Huachipato
Jornada 27 28 Oct,A. Italiano,,,Colo Colo
Jornada 27 28 Oct,Deportes Temuco,,,Curico Unido
Jornada 27 28 Oct,Everton Vina,,,Antofagasta
Jornada 27 28 Oct,Huachipato,,,O Higgins
Jornada 27 28 Oct,Palestino,,,D. Iquique
Jornada 27 28 Oct,U. de Chile,,,U. Catolica
Jornada 27 28 Oct,U. de Conce,,,U. Espanola
Jornada 27 28 Oct,U. La Calera,,,CD San Luis
Jornada 28 04 Nov,Antofagasta,,,U. Catolica
Jornada 28 04 Nov,Colo Colo,,,Palestino
Jornada 28 04 Nov,Curico Unido,,,U. La Calera
Jornada 28 04 Nov,D. Iquique,,,Huachipato
Jornada 28 04 Nov,Deportes Temuco,,,A. Italiano
Jornada 28 04 Nov,O Higgins,,,U. de Conce
Jornada 28 04 Nov,CD San Luis,,,U. de Chile
Jornada 28 04 Nov,U. Espanola,,,Everton Vina
Jornada 29 25 Nov,Antofagasta,,,U. Espanola
Jornada 29 25 Nov,A. Italiano,,,Curico Unido
Jornada 29 25 Nov,Everton Vina,,,Palestino
Jornada 29 25 Nov,Huachipato,,,Colo Colo
Jornada 29 25 Nov,U. Catolica,,,O Higgins
Jornada 29 25 Nov,U. de Chile,,,D. Iquique
Jornada 29 25 Nov,U. de Conce,,,CD San Luis
Jornada 29 25 Nov,U. La Calera,,,Deportes Temuco
Jornada 30 02 Dic,Colo Colo,,,U. de Conce
Jornada 30 02 Dic,Curico Unido,,,U. de Chile
Jornada 30 02 Dic,D. Iquique,,,Antofagasta
Jornada 30 02 Dic,Deportes Temuco,,,U. Catolica
Jornada 30 02 Dic,O Higgins,,,A. Italiano
Jornada 30 02 Dic,Palestino,,,Huachipato
Jornada 30 02 Dic,CD San Luis,,,Everton Vina
Jornada 30 02 Dic,U. Espanola,,,U. La Calera
